Measure Mode: memory
Thread ID: 20079756
Fiber ID: 19903176
Total: 0.000000
Sort by: self_time

 %self      total      self      wait     child     calls  name
   NaN      0.000     0.000     0.000     0.000     1000   ActiveRecord::ConnectionAdapters::AbstractAdapter::SQLString#compile
   NaN      0.000     0.000     0.000     0.000     6000   Array#initialize_copy
   NaN      0.000     0.000     0.000     0.000     4000   Arel::Collectors::SQLString#add_bind
   NaN      0.000     0.000     0.000     0.000     4000   Arel::Visitors::ToSql#visit_Arel_Nodes_BindParam
   NaN      0.000     0.000     0.000     0.000     1000   Array#zip
   NaN      0.000     0.000     0.000     0.000     1000   Arel::Visitors::ToSql#visit_Arel_Nodes_Values
   NaN      0.000     0.000     0.000     0.000     1000   Arel::Visitors::ToSql#maybe_visit
   NaN      0.000     0.000     0.000     0.000     1000   Array#join
   NaN      0.000     0.000     0.000     0.000     4000   Arel::Visitors::ToSql#quote_column_name
   NaN      0.000     0.000     0.000     0.000     5000   String#gsub
   NaN      0.000     0.000     0.000     0.000     5000   ActiveRecord::ConnectionAdapters::SQLite3Adapter#quote_column_name
   NaN      0.000     0.000     0.000     0.000     1000   ActiveRecord::ConnectionAdapters::Quoting#quote_table_name
   NaN      0.000     0.000     0.000     0.000     1000   Arel::Visitors::ToSql#quote_table_name
   NaN      0.000     0.000     0.000     0.000     1000   Arel::Visitors::ToSql#visit_Arel_Table
   NaN      0.000     0.000     0.000     0.000    13000   Arel::Collectors::PlainString#<<
   NaN      0.000     0.000     0.000     0.000     1000   Arel::Visitors::ToSql#visit_Arel_Nodes_InsertStatement
   NaN      0.000     0.000     0.000     0.000     7000   Arel::Visitors::Visitor#dispatch
   NaN      0.000     0.000     0.000     0.000     7000  *Arel::Visitors::Reduce#visit
   NaN      0.000     0.000     0.000     0.000     1000   Arel::Visitors::Reduce#accept
   NaN      0.000     0.000     0.000     0.000     1000   Arel::Collectors::PlainString#initialize
   NaN      0.000     0.000     0.000     0.000     1000   Arel::Collectors::SQLString#initialize
   NaN      0.000     0.000     0.000     0.000     1000   ActiveRecord::ConnectionAdapters::AbstractAdapter#collector
   NaN      0.000     0.000     0.000     0.000     1000   ActiveRecord::ConnectionAdapters::DatabaseStatements#to_sql
   NaN      0.000     0.000     0.000     0.000     1000   ActiveRecord::ConnectionAdapters::DatabaseStatements#insert
   NaN      0.000     0.000     0.000     0.000     1000   ActiveRecord::ConnectionAdapters::AbstractAdapter#insert
   NaN      0.000     0.000     0.000     0.000     1000   Arel::Nodes::Values#initialize
   NaN      0.000     0.000     0.000     0.000     1000   Arel::InsertManager#create_values
   NaN      0.000     0.000     0.000     0.000     1000   Arel::InsertManager#insert
   NaN      0.000     0.000     0.000     0.000     4000   ActiveRecord::ConnectionAdapters::AbstractAdapter#substitute_at
   NaN      0.000     0.000     0.000     0.000     1000   Enumerator#each
   NaN      0.000     0.000     0.000     0.000     3000   Enumerable#each_with_index
   NaN      0.000     0.000     0.000     0.000     1000   ActiveRecord::Relation#substitute_values
   NaN      0.000     0.000     0.000     0.000     1000   Arel::InsertManager#into
   NaN      0.000     0.000     0.000     0.000     1000   Arel::Nodes::InsertStatement#initialize
   NaN      0.000     0.000     0.000     0.000     1000   Arel::InsertManager#initialize
   NaN      0.000     0.000     0.000     0.000     1000   Arel::Crud#create_insert
   NaN      0.000     0.000     0.000     0.000     1000   ActiveRecord::QueryMethods#lock_value
   NaN      0.000     0.000     0.000     0.000     1000   ActiveRecord::QueryMethods#from_value
   NaN      0.000     0.000     0.000     0.000     1000   Arel::SelectManager#distinct
   NaN      0.000     0.000     0.000     0.000     1000   ActiveRecord::QueryMethods#distinct_value
   NaN      0.000     0.000     0.000     0.000     1000   Array#concat
   NaN      0.000     0.000     0.000     0.000     1000   Arel::SelectManager#project
   NaN      0.000     0.000     0.000     0.000     1000   <Module::Arel>#sql
   NaN      0.000     0.000     0.000     0.000     1000   <Module::Arel>#star
   NaN      0.000     0.000     0.000     0.000     1000   ActiveRecord::QueryMethods#select_values
   NaN      0.000     0.000     0.000     0.000     1000   ActiveRecord::QueryMethods#build_select
   NaN      0.000     0.000     0.000     0.000     1000   Array#reject!
   NaN      0.000     0.000     0.000     0.000     1001   Array#uniq
   NaN      0.000     0.000     0.000     0.000     1000   ActiveRecord::QueryMethods#order_values
   NaN      0.000     0.000     0.000     0.000     1000   ActiveRecord::QueryMethods#build_order
   NaN      0.000     0.000     0.000     0.000     1000   ActiveRecord::QueryMethods#group_values
   NaN      0.000     0.000     0.000     0.000     1000   ActiveRecord::QueryMethods#offset_value
   NaN      0.000     0.000     0.000     0.000     1000   ActiveRecord::QueryMethods#limit_value
   NaN      0.000     0.000     0.000     0.000     1000   ActiveRecord::QueryMethods#having_values
   NaN      0.000     0.000     0.000     0.000     1000   Array#blank?
   NaN      0.000     0.000     0.000     0.000     1000   Object#present?
   NaN      0.000     0.000     0.000     0.000     1000   ActiveRecord::QueryMethods#collapse_wheres
   NaN      0.000     0.000     0.000     0.000     1000   Array#-
   NaN      0.000     0.000     0.000     0.000     1000   ActiveRecord::QueryMethods#where_values
   NaN      0.000     0.000     0.000     0.000     1000   ActiveRecord::QueryMethods#joins_values
   NaN      0.000     0.000     0.000     0.000     1000   Arel::SelectManager#from
   NaN      0.000     0.000     0.000     0.000     1000   Arel::Nodes::SelectStatement#initialize
   NaN      0.000     0.000     0.000     0.000     2000   Arel::Nodes::Binary#initialize
   NaN      0.000     0.000     0.000     0.000     1000   Arel::Nodes::JoinSource#initialize
   NaN      0.000     0.000     0.000     0.000     1000   Arel::Nodes::SelectCore#initialize
   NaN      0.000     0.000     0.000     0.000     2000   Arel::TreeManager#initialize
   NaN      0.000     0.000     0.000     0.000     1000   Arel::SelectManager#initialize
   NaN      0.000     0.000     0.000     0.000     1000   ActiveRecord::QueryMethods#build_arel
   NaN      0.000     0.000     0.000     0.000     1000   ActiveRecord::QueryMethods#arel
