Measure Mode: allocations
Thread ID: 20472972
Fiber ID: 20293392
Total: 2843.000000
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.18     82.000     5.000     0.000    77.000        5   ActiveSupport::Subscriber#finish
  0.18      8.000     5.000     0.000     3.000        1   <Class::ActionDispatch::Journey::Router::Utils>#normalize_path
  0.18     18.000     5.000     0.000    13.000        1   Rack::Request#cookies
  0.18   2334.000     5.000     0.000  2329.000        6  *ActiveSupport::Callbacks#__run_callbacks__
  0.18     17.000     5.000     0.000    12.000        1   ApplicationController#_layout
  0.18     34.000     5.000     0.000    29.000        1   HomeController#_layout
  0.18    788.000     5.000     0.000   783.000        1   ActionView::Helpers::AssetTagHelper#javascript_include_tag
  0.18     11.000     5.000     0.000     6.000        5   ActiveSupport::Notifications::Event#initialize
  0.14     37.000     4.000     0.000    33.000        2   ActionDispatch::Http::Cache::Response#prepare_cache_control!
  0.14      8.000     4.000     0.000     4.000        2   SQLite3::Database#prepare
  0.14   1659.000     4.000     0.000  1655.000        2   ActionView::Template#instrument
  0.14      4.000     4.000     0.000     0.000        2   Kernel#lambda
  0.14      8.000     4.000     0.000     4.000        4   ActiveSupport::Notifications::Event#duration
  0.14      4.000     4.000     0.000     0.000        2   ActionView::OutputBuffer#initialize
  0.14     16.000     4.000     0.000    12.000        1   ActionController::LogSubscriber#start_processing
  0.14      4.000     4.000     0.000     0.000        7   IO#write
  0.14     10.000     4.000     0.000     6.000        1   <Class::ActionDispatch::Http::ParameterFilter::CompiledFilter>#compile
  0.14      6.000     4.000     0.000     2.000        2   ActiveSupport::CachingKeyGenerator#generate_key
  0.14      7.000     4.000     0.000     3.000        1   ActionDispatch::Integration::Runner#copy_session_variables!
  0.14      4.000     4.000     0.000     0.000        2   ActiveSupport::Notifications::Fanout#subscribe
  0.14      5.000     4.000     0.000     1.000        2   Enumerable#find_all
  0.14   1455.000     4.000     0.000  1451.000        2   Sprockets::Rails::HelperAssetResolvers::Environment#find_asset
  0.14      4.000     4.000     0.000     0.000        3   String#sub!
  0.14      4.000     4.000     0.000     0.000        4   <Module::Process>#clock_gettime
  0.14     73.000     4.000     0.000    69.000        1   Rack::Test::Session#env_for
  0.14      4.000     4.000     0.000     0.000        4   <Class::ActiveRecord::LogSubscriber>#reset_runtime
  0.14      9.000     4.000     0.000     5.000        1   ActionDispatch::Http::Headers#env_name
  0.14      4.000     4.000     0.000     0.000        3   String#tr
  0.14      4.000     4.000     0.000     0.000        2   <Class::File>#extname
  0.14     23.000     4.000     0.000    19.000        1   ActionView::TemplateRenderer#determine_template
  0.14   2356.000     4.000     0.000  2352.000        1   Rails::Rack::Logger#call_app
  0.14    794.000     4.000     0.000   790.000        1   ActionView::Helpers::AssetTagHelper#stylesheet_link_tag
  0.11   2480.000     3.000     0.000  2477.000        1   Rack::Sendfile#call
  0.11     35.000     3.000     0.000    32.000       19   Hash#each
  0.11     60.000     3.000     0.000    57.000        3   ActionDispatch::Http::Parameters#parameters
  0.11   2146.000     3.000     0.000  2143.000        1   ActionView::Rendering#process
  0.11      6.000     3.000     0.000     3.000        3   Array#reject
  0.11      6.000     3.000     0.000     3.000        3   URI::Generic#set_userinfo
  0.11     19.000     3.000     0.000    16.000        1   ActionView::LookupContext::ViewPaths#find
  0.11     22.000     3.000     0.000    19.000        3   ActionView::LookupContext::ViewPaths#args_for_lookup
  0.11      3.000     3.000     0.000     0.000        3   URI::Generic#split_userinfo
  0.11     23.000     3.000     0.000    20.000        1   Rack::Request#POST
  0.11      7.000     3.000     0.000     4.000        3   ActionView::LookupContext::ViewPaths#detail_args_for
  0.11      3.000     3.000     0.000     0.000        5   Array#compact
  0.11   2779.000     3.000     0.000  2776.000        1   AcessosTest#test_homepage
  0.11      3.000     3.000     0.000     0.000        3   Rack::Utils::KeySpaceConstrainedParams#initialize
  0.11   2485.000     3.000     0.000  2482.000        1   Rails::Engine#call
  0.11      4.000     3.000     0.000     1.000        1   Rack::Session::Abstract::ID#force_options?
  0.11     47.000     3.000     0.000    44.000        1   ActionDispatch::FileHandler#match?
  0.11      6.000     3.000     0.000     3.000        1   ActionView::PathSet#find
  0.11      9.000     3.000     0.000     6.000        2   ActionDispatch::Http::MimeNegotiation#formats
  0.11   2337.000     3.000     0.000  2334.000        4  *ActiveSupport::Callbacks#run_callbacks
  0.11      5.000     3.000     0.000     2.000        1   Hash#except
  0.11      3.000     3.000     0.000     0.000        3   <Class::File>#file?
  0.11      4.000     3.000     0.000     1.000        4   Time#minus_without_duration
  0.11     16.000     3.000     0.000    13.000        1   Turbolinks::XDomainBlocker#abort_xdomain_redirect
  0.11      9.000     3.000     0.000     6.000        3   Rack::Request#ssl?
  0.11      3.000     3.000     0.000     0.000        1   ActionDispatch::Cookies::CookieJar#initialize
  0.11      3.000     3.000     0.000     0.000        1   Rack::Request#trusted_proxy?
  0.11      6.000     3.000     0.000     3.000        3   ActionView::Resolver#find_all
  0.11      8.000     3.000     0.000     5.000        1   SQLite3::Database#transaction
  0.11   1845.000     3.000     0.000  1842.000        1   Benchmark#realtime
  0.11     38.000     3.000     0.000    35.000        1   ActionView::TemplateRenderer#find_layout
  0.11      3.000     3.000     0.000     0.000        3   ActionView::LookupContext::Accessors#formats
  0.07   1852.000     2.000     0.000  1850.000        1   ActionController::ImplicitRender#default_render
  0.07   1855.000     2.000     0.000  1853.000        1   AbstractController::Base#process_action
  0.07   2316.000     2.000     0.000  2314.000        1   ActionDispatch::Callbacks#call
  0.07      2.000     2.000     0.000     0.000        1   Array#|
  0.07   2320.000     2.000     0.000  2318.000        1   ActionDispatch::DebugExceptions#call
  0.07     24.000     2.000     0.000    22.000        2   ActiveRecord::ConnectionAdapters::AbstractAdapter#log
  0.07   1862.000     2.000     0.000  1860.000        1   ActionController::Rendering#process_action
  0.07      3.000     2.000     0.000     1.000        1   ActiveSupport::MessageEncryptor#initialize
  0.07   2274.000     2.000     0.000  2272.000        1   Rack::ETag#call
  0.07     12.000     2.000     0.000    10.000        1   <Module::SecureRandom>#uuid
  0.07   2394.000     2.000     0.000  2392.000        1   Rack::Runtime#call
  0.07   2039.000     2.000     0.000  2037.000        7  *ActiveSupport::Notifications::Instrumenter#instrument
  0.07   1840.000     2.000     0.000  1838.000        1   ActionController::Rendering#render
  0.07      2.000     2.000     0.000     0.000        3   String#gsub!
  0.07     10.000     2.000     0.000     8.000        2   SQLite3::Database#execute
  0.07      2.000     2.000     0.000     0.000        3   Array#flatten
  0.07      7.000     2.000     0.000     5.000        3   Enumerable#map
  0.07      4.000     2.000     0.000     2.000        2   Kernel#loop
