Measure Mode: wall_time
Thread ID: 20079756
Fiber ID: 19903176
Total: 3.790256
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.43      0.016     0.016     0.000     0.000     1000   ActiveRecord::Base#_run_validate_callbacks
  0.43      0.097     0.016     0.000     0.081    15000   ActiveSupport::HashWithIndifferentAccess#key?
  0.43      0.162     0.016     0.000     0.146    15000   ActiveModel::Dirty#changes_include?
  0.43      0.720     0.016     0.000     0.704     5000   ActiveRecord::AttributeMethods::Dirty#write_attribute
  0.43      0.051     0.016     0.000     0.035     6000   Time#to_time
  0.43      0.016     0.016     0.000     0.000     4004   SQLite3::Statement#column_count
  0.43      0.052     0.016     0.000     0.036     8000   ActiveRecord::ConnectionAdapters::ConnectionHandler#retrieve_connection_pool
  0.43      0.033     0.016     0.000     0.017     3002   ActiveSupport::Notifications::Event#initialize
  0.43      0.016     0.016     0.000     0.000     8002   <Module::Process>#pid
  0.43      0.016     0.016     0.000     0.000     9004   Hash#initialize
  0.43      0.016     0.016     0.000     0.000     3002   Time#minus_without_duration
  0.43      0.016     0.016     0.000     0.000    16000   Symbol#to_sym
  0.43      0.047     0.016     0.000     0.031     1000   Hash#transform_keys
  0.43      0.033     0.016     0.000     0.017     6000   ActiveRecord::Type::String#type_cast_for_database
  0.43      0.265     0.016     0.000     0.248     3002   ActiveSupport::LogSubscriber#finish
  0.43      0.016     0.016     0.000     0.000     6000   ActiveSupport::TimeWithZone#utc
  0.43      0.016     0.016     0.000     0.000     2000   Time#mon
  0.42      0.085     0.016     0.000     0.069     3002   ActiveSupport::Subscriber#start
  0.42      0.017     0.016     0.000     0.001     2000   ActiveRecord::Type::String#cast_value
  0.42      0.016     0.016     0.000     0.000     1000   Array#reject!
  0.42      0.068     0.016     0.000     0.052     6000   Time#compare_with_coercion
  0.41      0.016     0.016     0.000     0.000    12009   Kernel#respond_to_missing?
  0.41      0.016     0.016     0.000     0.000     4000   SQLite3::Statement#bind_param
  0.41      0.279     0.016     0.000     0.263     1000   ActiveRecord::AttributeMethods::Dirty#cache_changed_attributes
  0.41      0.063     0.016     0.000     0.047     5000   ActiveRecord::AttributeSet#write_from_user
  0.41      0.031     0.016     0.000     0.016     4000   Hash#each_key
  0.41      0.016     0.016     0.000     0.000     1000   ActiveRecord::ModelSchema::ClassMethods#_default_attributes
  0.41      0.016     0.016     0.000     0.000     1000   <Class::ActiveRecord::Base>#_create_callbacks
  0.41      0.016     0.016     0.000     0.000     2002   Module#const_defined?
  0.41      0.016     0.016     0.000     0.000     2000   ActiveSupport::HashWithIndifferentAccess#default
  0.41      0.016     0.016     0.000     0.000     2000   Arel::Nodes::Binary#initialize
  0.41      0.053     0.016     0.000     0.037     3002   Kernel#loop
  0.41      0.016     0.016     0.000     0.000     1000   ActiveRecord::ModelSchema::ClassMethods#table_name
  0.41      0.016     0.016     0.000     0.000     1000   <Class::ActiveRecord::Base>#partial_writes
  0.41      0.016     0.016     0.000     0.000     1000   ActiveRecord::QueryMethods#group_values
  0.41      2.430     0.016     0.000     2.414     1000   ActiveRecord::Validations#save
  0.41      0.082     0.016     0.000     0.066     5000   ActiveRecord::AttributeMethods#clone_attribute_value
  0.41      0.016     0.016     0.000     0.000     1000   ActiveRecord::Timestamp#all_timestamp_attributes
  0.41      0.126     0.016     0.000     0.110     3000   Enumerable#each_with_index
  0.41      0.018     0.016     0.000     0.002     1000   ActiveRecord::Base#_run_initialize_callbacks
  0.41      0.134     0.016     0.000     0.118     6004   ActiveSupport::Notifications::Fanout::Subscribers::Evented#start
  0.41      0.016     0.016     0.000     0.000     1000   SQLite3::Statement#reset!
  0.41      0.016     0.016     0.000     0.000     6000   Array#initialize_copy
  0.41      0.016     0.016     0.000     0.000     2000   Hash#reverse_merge!
  0.41      0.016     0.016     0.000     0.000    25000   ActiveRecord::AttributeMethods::Dirty#original_raw_attributes
  0.41      0.031     0.016     0.000     0.016     1000   Arel::Nodes::SelectCore#initialize
  0.41      0.031     0.016     0.000     0.016     2000   ActiveSupport::HashWithIndifferentAccess#set_defaults
  0.41      0.065     0.016     0.000     0.049     2000   Integer#upto
  0.41      0.064     0.016     0.000     0.048     2002   SQLite3::Statement#get_metadata
  0.41      0.016     0.016     0.000     0.000     2000   Arel::TreeManager#initialize
  0.41      0.016     0.016     0.000     0.000     2000   TZInfo::TimezonePeriod#initialize
  0.41      0.016     0.016     0.000     0.000     4000   Hash#default
  0.41      0.079     0.016     0.000     0.063     2000   TZInfo::TimeOrDateTime#+
  0.41      0.016     0.016     0.000     0.000     3000   ActiveRecord::Type::Integer#cast_value
  0.41      0.016     0.016     0.000     0.000     1000   Arel::SelectManager#distinct
  0.41      0.963     0.016     0.000     0.947     1000   ActiveRecord::ConnectionAdapters::DatabaseStatements#exec_insert
  0.41      0.017     0.016     0.000     0.001     4000   ActiveRecord::LazyAttributeHash#key?
  0.41      0.017     0.016     0.000     0.002     1000   ActiveRecord::Core::ClassMethods#relation
  0.41      0.016     0.016     0.000     0.000     3002   Array#flatten
  0.41      0.016     0.016     0.000     0.000     2000   Enumerable#each_with_object
  0.41      0.047     0.016     0.000     0.032     3002   SQLite3::Statement#bind_params
  0.41      0.047     0.016     0.000     0.031     5000   Arel::Table#[]
  0.41      0.102     0.016     0.000     0.086     6000   TZInfo::TimeOrDateTime#<=>
  0.41      0.228     0.016     0.000     0.212     2002   SQLite3::Database#execute
  0.41      0.016     0.016     0.000     0.000     4004   Array#initialize
  0.41      0.031     0.016     0.000     0.016     4000   <Class::Time>#===
  0.41      0.052     0.016     0.000     0.037     1000   <Class::ActiveSupport::HashWithIndifferentAccess>#[]
  0.41      0.016     0.016     0.000     0.000     2000   Kernel#sprintf
  0.09      0.768     0.004     0.000     0.765     3002   ActiveSupport::Notifications::Instrumenter#instrument
  0.08      0.250     0.003     0.000     0.247     5000   Hash#each
  0.08      0.052     0.003     0.000     0.049     7000   ActiveSupport::HashWithIndifferentAccess#initialize
  0.08      0.004     0.003     0.000     0.001     6000   #<Class:0x609b868>#changed_in_place?
  0.05      0.002     0.002     0.000     0.000    33017   ThreadSafe::NonConcurrentCacheBackend#[]
  0.05      0.066     0.002     0.000     0.064     2002   SQLite3::Statement#columns
  0.05      0.036     0.002     0.000     0.034    20000  *ActiveSupport::HashWithIndifferentAccess#convert_value
  0.05      0.004     0.002     0.000     0.002     8003   ActiveRecord::ConnectionHandling#connection_id
  0.05      0.053     0.002     0.000     0.051     8002   <Class::ActiveRecord::Base>#connection_handler
  0.05      0.300     0.002     0.000     0.298     1000   ActiveRecord::Core#initialize
  0.04      0.663     0.002     0.000     0.661     4000   ActiveRecord::ConnectionAdapters::Quoting#type_cast
  0.04      0.002     0.002     0.000     0.000    13000   ActiveRecord::AttributeMethods::PrimaryKey::ClassMethods#primary_key
  0.04      0.002     0.002     0.000     0.000     8000   Module#name
  0.04      0.183     0.002     0.000     0.181    10000   ActiveRecord::AttributeMethods::Dirty#changes_include?
  0.04      0.002     0.002     0.000     0.000     4000   Arel::Visitors::ToSql#visit_Arel_Nodes_BindParam
  0.04      3.471     0.002     0.000     3.469     1000   ActiveRecord::Transactions#with_transaction_returning_status
  0.04      0.002     0.002     0.000     0.000     6000   Time#compare_without_coercion
  0.04      0.119     0.002     0.000     0.118     1000   ActiveRecord::AttributeMethods::Dirty#store_original_raw_attributes
  0.04      0.018     0.002     0.000     0.017    11005   Kernel#initialize_dup
  0.04      0.002     0.002     0.000     0.000     1000   ActiveRecord::Core#init_internals
  0.04      3.403     0.002     0.000     3.402     1000   ActiveRecord::ConnectionAdapters::TransactionManager#within_new_transaction
  0.04      0.002     0.002     0.000     0.000    10000   ActiveRecord::Attribute#initialize
  0.04      0.002     0.002     0.000     0.000     1000   ActiveRecord::Delegation::DelegateCache#relation_delegate_class
